X,CARRIER,X.15.0_number,X.15.0_rate,X0.15_number,X0.15_rate,X15.30_number,X15.30_rate,X30.60_number,X30.60_rate,X.60_number,X.60_0rate
1,American Airlines,1584992,0.623587381,526826,0.207270475,150867,0.059355982,133106,0.052368228,141952,0.055848532
2,Alaska Airlines,359474,0.674628927,92943,0.174427181,24482,0.045945647,18898,0.035466091,16143,0.030295751
3,JetBlue Airways,453991,0.544622763,171055,0.20520329,65290,0.078324064,61534,0.073818241,75602,0.090694684
4,Delta Air Lines,1673295,0.617611788,648311,0.239291049,153509,0.056660044,110862,0.040919072,120846,0.044604158
5,Atlantic Southeast Airlines,921651,0.673373975,199500,0.14575811,70345,0.051395259,71145,0.051979753,97421,0.071177448
6,Frontier Airlines,167161,0.58330629,54090,0.188746401,20400,0.071185554,18541,0.064698595,23194,0.080935183
7,Hawaiian Airlines,159671,0.685150937,55267,0.237151623,9421,0.040425669,4671,0.020043339,3072,0.013182003
8,American Eagle Airlines,172194,0.614357631,51960,0.185384058,18338,0.065426729,17803,0.063517944,18724,0.066803909
9,Spirit Air Lines,232232,0.575116394,75785,0.187679544,29082,0.072020802,27863,0.069001981,33831,0.083781575
10,SkyWest Airlines,1276439,0.680325165,282439,0.150536265,89275,0.047582398,88772,0.047314306,121553,0.064786147
11,United Air Lines,889889,0.546251815,418381,0.256820099,108385,0.066531335,92885,0.057016774,116584,0.071564231
12,US Airways,102299,0.636120559,35020,0.217763047,9412,0.058526151,7279,0.045262628,6646,0.041326477
13,Virgin America,107601,0.53801576,48643,0.243219864,14969,0.074846497,13855,0.069276386,14648,0.073241465
14,Southwest Airlines,1813930,0.471588063,1235657,0.321247838,353976,0.092027176,253468,0.065896966,189319,0.049219419
