"YEAR","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","SERVICE_CLASS","REV_PAX_ENP_110","REV_PAX_MILES_140","REV_PAX_MILES_COACH","REV_PAX_MILES_FIRST","NON_REV_PAX_MILES","REV_TON_MILES_240","REV_TON_MILES_FREIGHT_247","REV_TON_MILES_PAX_241","REV_TON_MILES_USPR_MAIL","REV_TON_MILES_USNONPR_MAIL","REV_TON_MILES_MAIL_249","REV_TON_MILES_FOREIGN_MAIL","REV_TON_MILES_EXPRESS_MAIL","NON_REV_TON_MILES","AVL_TON_MILES_280","AVL_SEAT_MILES_320","AVL_SEAT_MILES_FIRST","AVL_SEAT_MILES_COACH","REV_ACRFT_MILES_FLOWN_410","REV_ACRFT_MILES_SCH_430","REV_ACRFT_MILES_SCH_COMPLETED","REV_ACRFT_DEP_PERF_510","REV_ACRFT_HRS_AIRBORNE_610","ACRFT_HRS_RAMPTORAMP_630",
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",594775.00,899248371.00,0.00,899248371.00,,89924837.00,0.00,89924837.00,,,0.00,,,,152798740.00,1180921975.00,1180921975.00,0.00,8199218.00,8326586.00,,5648.00,17812.00,20221.00,
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",540567.00,813494439.00,0.00,813494439.00,,81349444.00,0.00,81349444.00,,,0.00,,,,133282262.00,1030464917.00,1030464917.00,0.00,7152031.00,7374596.00,,4960.00,15596.00,17668.00,
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",650553.00,976493157.00,0.00,976493157.00,,97649316.00,0.00,97649316.00,,,0.00,,,,151573802.00,1171635804.00,1171635804.00,0.00,8133561.00,8390879.00,,5674.00,17662.00,20066.00,
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",664423.00,1018944548.00,0.00,1018944548.00,,101894455.00,0.00,101894455.00,,,0.00,,,,149610314.00,1159792135.00,1159792135.00,0.00,8029877.00,8092472.00,,5502.00,17439.00,19699.00,
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",696243.00,1065881394.00,0.00,1065881394.00,,106588139.00,0.00,106588139.00,,,0.00,,,,160609820.00,1246640506.00,1246640506.00,0.00,8619545.00,8677310.00,,5790.00,18544.00,21230.00,
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",728956.00,1139906550.00,0.00,1139906550.00,,113990655.00,0.00,113990655.00,,,0.00,,,,166647881.00,1291688010.00,1291688010.00,0.00,8859948.00,8924295.00,,5909.00,18908.00,21740.00,
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",750489.00,1156764979.00,0.00,1156764979.00,,115676498.00,0.00,115676498.00,,,0.00,,,,173490272.00,1339550462.00,1339550462.00,0.00,9203692.00,9223378.00,,6118.00,19457.00,22335.00,
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",744286.00,1146048634.00,0.00,1146048634.00,,114604863.00,0.00,114604863.00,,,0.00,,,,172844393.00,1334701867.00,1334701867.00,0.00,9182363.00,9217871.00,,6118.00,19537.00,22623.00,
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",678838.00,1042393247.00,0.00,1042393247.00,,104239325.00,0.00,104239325.00,,,0.00,,,,162437049.00,1246518045.00,1246518045.00,0.00,8613786.00,8717477.00,,5756.00,18270.00,21004.00,
2017,"VX","Virgin America","D","VX","Virgin America",3,3,"F",740066.00,1158362582.00,0.00,1158362582.00,,115836258.00,0.00,115836258.00,,,0.00,,,,177617688.00,1360507705.00,1360507705.00,0.00,9400673.00,9490043.00,,6152.00,19989.00,22878.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",266.00,28159.00,0.00,28159.00,,3093.00,277.00,2816.00,,,0.00,,,,10134.00,92061.00,92061.00,0.00,12071.00,12071.00,,137.00,88.00,109.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",307.00,33134.00,0.00,33134.00,,3623.00,309.00,3313.00,,,0.00,,,,20970.00,105633.00,105633.00,0.00,13541.00,13541.00,,142.00,87.00,106.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",288.00,31025.00,0.00,31025.00,,3414.00,312.00,3103.00,,,0.00,,,,12418.00,113172.00,113172.00,0.00,14715.00,14715.00,,151.00,104.00,124.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",397.00,41355.00,0.00,41355.00,,4810.00,675.00,4136.00,,,0.00,,,,14939.00,137343.00,137343.00,0.00,17398.00,17398.00,,184.00,112.00,137.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",622.00,58750.00,0.00,58750.00,,6599.00,724.00,5875.00,,,0.00,,,,22357.00,210428.00,210428.00,0.00,25796.00,25796.00,,281.00,180.00,218.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",785.00,66894.00,0.00,66894.00,,7331.00,641.00,6689.00,,,0.00,,,,25476.00,250186.00,250186.00,0.00,29674.00,29674.00,,357.00,217.00,266.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",857.00,65036.00,0.00,65036.00,,7076.00,572.00,6504.00,,,0.00,,,,20273.00,204645.00,204645.00,0.00,23757.00,0.00,,317.00,173.00,218.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",726.00,50191.00,0.00,50191.00,,5597.00,578.00,5019.00,,,0.00,,,,19408.00,200558.00,200558.00,0.00,22670.00,22670.00,,328.00,187.00,214.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",685.00,50902.00,0.00,50902.00,,5668.00,578.00,5090.00,,,0.00,,,,19408.00,200558.00,200558.00,0.00,22670.00,22670.00,,328.00,189.00,213.00,
2017,"HBQ","Harris Air Services","D","HBQ","Harris Air Services",1,9,"F",395.00,27173.00,0.00,27173.00,,3033.00,315.00,2717.00,,,0.00,,,,12328.00,126279.00,126279.00,0.00,14527.00,14527.00,,199.00,125.00,147.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",3012.00,585024.00,0.00,585024.00,,58502.00,0.00,58502.00,,,0.00,,,,214606.00,995272.00,995272.00,0.00,124409.00,124409.00,,659.00,536.00,660.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",578.00,567179.00,0.00,567179.00,,56718.00,0.00,56718.00,,,0.00,,,,189579.00,879208.00,879208.00,0.00,109901.00,111474.00,,578.00,468.00,570.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",3066.00,588916.00,0.00,588916.00,,58892.00,0.00,58892.00,,,0.00,,,,196671.00,912096.00,912096.00,0.00,114012.00,114012.00,,609.00,493.00,597.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",2594.00,488673.00,0.00,488673.00,,48867.00,0.00,48867.00,,,0.00,,,,166273.00,771120.00,771120.00,0.00,96390.00,96390.00,,522.00,415.00,511.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",2309.00,434061.00,0.00,434061.00,,43406.00,0.00,43406.00,,,0.00,,,,146132.00,677712.00,677712.00,0.00,84714.00,84714.00,,458.00,369.00,459.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",2475.00,466238.00,0.00,466238.00,,46624.00,0.00,46624.00,,,0.00,,,,152802.00,708648.00,708648.00,0.00,88581.00,88581.00,,480.00,373.00,482.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",3529.00,661635.00,0.00,661635.00,,66164.00,0.00,66164.00,,,0.00,,,,205844.00,954640.00,954640.00,0.00,119330.00,119330.00,,642.00,507.00,657.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",3416.00,639382.00,0.00,639382.00,,63938.00,0.00,63938.00,,,0.00,,,,203583.00,944152.00,944152.00,0.00,118019.00,118019.00,,636.00,492.00,639.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1367.00,252754.00,0.00,252754.00,,25275.00,0.00,25275.00,,,0.00,,,,91056.00,422288.00,422288.00,0.00,52786.00,52786.00,,288.00,226.00,301.00,
2017,"04Q","Tradewind Aviation","D","04Q","Tradewind Aviation",1,6,"F",1020.00,188797.00,0.00,188797.00,,18880.00,0.00,18880.00,,,0.00,,,,75282.00,349136.00,349136.00,0.00,43642.00,43642.00,,240.00,187.00,252.00,
2017,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",315.00,9876.00,0.00,9876.00,,1498.00,187.00,988.00,,,323.00,,,,4439.00,44394.00,44394.00,0.00,7399.00,0.00,,251.00,94.00,106.00,
2017,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",310.00,10391.00,0.00,10391.00,,1515.00,139.00,1039.00,,,337.00,,,,4796.00,47958.00,47958.00,0.00,7993.00,0.00,,257.00,98.00,110.00,
2017,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",311.00,9102.00,0.00,9102.00,,1617.00,345.00,910.00,,,362.00,,,,4636.00,46362.00,46362.00,0.00,7727.00,0.00,,254.00,98.00,110.00,
2017,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",651.00,23661.00,0.00,23661.00,,3165.00,410.00,2366.00,,,389.00,,,,9170.00,91704.00,91704.00,0.00,15284.00,0.00,,462.00,187.00,208.00,
2017,"3F","Pacific Airways, Inc.","D","3F","Pacific Airways, Inc.",1,5,"F",1050.00,40022.00,0.00,40022.00,,4765.00,318.00,4002.00,,,445.00,,,,12131.00,121308.00,121308.00,0.00,20218.00,0.00,,599.00,243.00,269.00,
